"WP_NAME,C,50","WARD,C,5","PRECINCT,C,5","DISTRICT,C,10","POP_2010,N,10,0","TOWN,C,35","TOWN_ID,N,5,0","AREA_SQMI,N,19,11","AREA_ACRES,N,19,11","YEAR,N,10,0","SHAPE_AREA,N,19,11","SHAPE_LEN,N,19,11"
Pittsfield City Ward 3 Precinct B,3,B,3-B,3217,PITTSFIELD,236,2.025,1296.03,2012,5244886.01715,11632.0274679
Pittsfield City Ward 4 Precinct B,4,B,4-B,3232,PITTSFIELD,236,5.049,3231.62,2012,13077969.6449,20439.449601
Pittsfield City Ward 4 Precinct A,4,A,4-A,3198,PITTSFIELD,236,3.003,1922.09,2012,7778451.31838,16077.6713152
Scituate Town Precinct 4,,4,4,3080,SCITUATE,264,3.613,2312.19,2012,9357136.43054,43800.1123667
Quincy City Ward 2 Precinct 1,2,1,2-1,3177,QUINCY,243,0.321,205.36,2012,831049.743521,6073.28546956
Quincy City Ward 2 Precinct 2,2,2,2-2,3144,QUINCY,243,0.44,281.71,2012,1140030.68439,9842.2758237
Quincy City Ward 2 Precinct 3,2,3,2-3,3222,QUINCY,243,0.165,105.6,2012,427369.3568,3863.1027448
Quincy City Ward 2 Precinct 4,2,4,2-4,2972,QUINCY,243,0.209,133.44,2012,540017.277418,3128.84185059
Quincy City Ward 2 Precinct 5,2,5,2-5,2957,QUINCY,243,0.504,322.57,2012,1305399.52384,6952.38165708
Randolph Town Precinct 1,,1,1,2566,RANDOLPH,244,0.71,454.29,2012,1838457.30954,6826.61667684
Randolph Town Precinct 2,,2,2,2614,RANDOLPH,244,0.53,339.4,2012,1373498.22367,5479.24257347
Quincy City Ward 3 Precinct 4,3,4,3-4,2996,QUINCY,243,0.354,226.86,2012,918070.106911,6034.96510169
Quincy City Ward 3 Precinct 5,3,5,3-5,3052,QUINCY,243,0.239,152.86,2012,618586.78098,3432.24523626
Quincy City Ward 4 Precinct 1,4,1,4-1,3226,QUINCY,243,4.766,3050.52,2012,12345073.3756,21388.7911391
Quincy City Ward 4 Precinct 2,4,2,4-2,3226,QUINCY,243,0.378,242.14,2012,979909.101163,5038.17780649
Montague Town Precinct 4,,4,4,1365,MONTAGUE,192,0.831,531.71,2012,2151771.16959,9537.81291149
Montague Town Precinct 5,,5,5,1391,MONTAGUE,192,0.333,213.16,2012,862644.020109,5157.89173505
Quincy City Ward 5 Precinct 1,5,1,5-1,3051,QUINCY,243,0.376,240.66,2012,973916.267385,7059.65393621
Quincy City Ward 5 Precinct 2,5,2,5-2,2995,QUINCY,243,0.209,134.07,2012,542564.116711,3592.26522761
Quincy City Ward 5 Precinct 3,5,3,5-3,3121,QUINCY,243,0.442,282.58,2012,1143579.68114,6882.9886439
Saugus Town Precinct 9,,9,9,2738,SAUGUS,262,2.387,1527.73,2012,6182523.62587,12458.4684081
Saugus Town Precinct 10,,10,10,2693,SAUGUS,262,1.846,1181.75,2012,4782407.2361,27783.8360608
Scituate Town Precinct 3,,3,3,2963,SCITUATE,264,3.343,2139.65,2012,8658871.44024,32349.658225
Randolph Town Precinct 7,,7,7,2734,RANDOLPH,244,0.755,483.48,2012,1956584.90299,7475.35325835
Randolph Town Precinct 6,,6,6,2558,RANDOLPH,244,0.44,281.72,2012,1140079.03426,5409.35787474
Revere City Ward 2 Precinct 2,2,2,2-2,2939,REVERE,248,0.207,132.41,2012,535846.549963,4384.91860885
Revere City Ward 2 Precinct 3,2,3,2-3,2860,REVERE,248,0.107,68.2,2012,276009.305049,2629.32258125
Revere City Ward 3 Precinct 1,3,1,3-1,2953,REVERE,248,0.345,220.91,2012,893981.084026,6003.6865213
Revere City Ward 3 Precinct 2,3,2,3-2,2832,REVERE,248,0.22,140.71,2012,569444.83394,3763.92613324
Sutton Town Precinct 1,,1,1,2919,SUTTON,290,12.955,8291.2,2012,33553438.758,26925.729545
Saugus Town Precinct 1,,1,1,2610,SAUGUS,262,0.895,572.86,2012,2318310.66446,9166.54156036
Randolph Town Precinct 5,,5,5,2638,RANDOLPH,244,1.232,788.39,2012,3190517.86972,8842.19862629
Randolph Town Precinct 8,,8,8,2782,RANDOLPH,244,0.612,391.52,2012,1584414.05039,5881.34132744
Somerset Town Precinct 2,,2,2,3713,SOMERSET,273,0.913,584.17,2012,2364066.20116,8907.79392621
